ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1430778019.32443,pg_catalog,pg_operator,3,2295,275,1530,0,0,0,0,765,0,42,1075,20,621,,,,
1430778019.32443,pg_catalog,pg_extension,3,3,0,0,0,0,0,0,1,0,2,2,0,0,,,,
1430778019.32443,pg_catalog,pg_authid,678,678,14537,14537,0,0,0,0,1,0,205,15034,686,28388,,,,
1430778019.32443,pg_catalog,pg_statistic,2,798,1175,990,92,404,0,133,92,321,65,2063,13,3116,34,273,4,230
1430778019.32443,pg_catalog,pg_opfamily,3,258,0,0,0,0,0,0,86,0,4,4,0,0,,,,
1430778019.32443,public,customer,6,720000,31,55,120000,17,0,0,120000,17,68617,28965,46,180,,,,
1430778019.32443,pg_catalog,pg_shdescription,52,153,24,0,0,0,0,0,3,0,49,27,49,0,0,0,0,0
1430778019.32443,pg_catalog,pg_event_trigger,3,0,27,0,0,0,0,0,0,0,0,0,2,25,,,,
1430778019.32443,pg_catalog,pg_user_mapping,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,public,order_line,4,4552236,21,398,1138076,106,0,0,1138076,106,78056,34913,21,422,,,,
1430778019.32443,pg_catalog,pg_inherits,3,0,84,0,0,0,0,0,0,0,0,0,2,82,,,,
1430778019.32443,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_rewrite,3,327,9,9,0,0,0,0,109,0,23,30,4,12,45,46,8,138
1430778019.32443,public,district,30,960,0,0,40,9,0,9,40,9,3,34,1,13,,,,
1430778019.32443,pg_catalog,pg_foreign_data_wrapper,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_largeobject_metadata,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_opclass,7,388,396,5208,0,0,0,0,128,0,9,1843,12,505,,,,
1430778019.32443,pg_catalog,pg_attrdef,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430778019.32443,pg_catalog,pg_default_acl,3,0,59,0,0,0,0,0,0,0,0,0,2,57,,,,
1430778019.32443,pg_catalog,pg_aggregate,2,266,5,5,0,0,0,0,133,0,5,6,4,6,,,,
1430778019.32443,pg_toast,pg_toast_12329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_ts_dict,3,48,0,0,0,0,0,0,16,0,2,2,0,0,,,,
1430778019.32443,pg_catalog,pg_index,25,1081,1055,1303,27,0,17,0,123,17,13,1163,12,1267,,,,
1430778019.32443,public,new_order,4,144000,20,20,36002,0,10,0,35992,10,403,1187,12,37,,,,
1430778019.32443,pg_catalog,pg_tablespace,147,294,5507,5507,0,0,0,0,2,0,161,5517,307,10771,,,,
1430778019.32443,pg_toast,pg_toast_2619,0,0,141,370,75,0,14,0,61,14,34,273,4,230,,,,
1430778019.32443,pg_catalog,pg_constraint,5,50,8,0,8,0,0,0,10,0,6,33,8,64,0,0,0,0
1430778019.32443,pg_toast,pg_toast_2618,0,0,67,209,0,0,0,0,0,0,45,46,4,69,,,,
1430778019.32443,pg_catalog,pg_cast,3,594,2001,405,0,0,0,0,198,0,6,407,6,2038,,,,
1430778019.32443,pg_catalog,pg_ts_config,3,48,0,0,0,0,0,0,16,0,2,2,0,0,,,,
1430778019.32443,pg_catalog,pg_ts_parser,3,3,0,0,0,0,0,0,1,0,2,2,0,0,,,,
1430778019.32443,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_largeobject,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,public,warehouse,23,80,0,0,4,7,0,7,4,7,3,26,1,9,,,,
1430778019.32443,pg_catalog,pg_enum,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_foreign_table,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1430778019.32443,pg_catalog,pg_collation,3,1806,0,0,0,0,0,0,602,0,38,38,0,0,,,,
1430778019.32443,public,orders,6,720000,20,20,120002,10,0,0,120002,10,1946,7757,31,116,,,,
1430778019.32443,pg_catalog,pg_am,109,121,0,0,0,0,0,0,5,0,3,107,0,0,,,,
